timestamp,source_ip,destination_ip,port,protocol,bytes_transferred,user_id,action,status
2024-01-15 09:15:23,192.168.1.100,10.0.0.50,80,HTTP,1024,user001,web_access,success
2024-01-15 09:16:45,192.168.1.101,10.0.0.51,443,HTTPS,2048,user002,secure_access,success
2024-01-15 09:17:12,192.168.1.102,10.0.0.52,22,SSH,512,admin001,ssh_login,success
2024-01-15 09:18:33,192.168.1.103,10.0.0.53,3389,RDP,4096,user003,remote_desktop,failed
2024-01-15 09:19:44,192.168.1.104,10.0.0.54,21,FTP,8192,user004,file_transfer,success
2024-01-15 09:20:15,192.168.1.105,10.0.0.55,25,SMTP,1536,user005,email_send,success
2024-01-15 09:21:36,192.168.1.106,10.0.0.56,110,POP3,768,user006,email_receive,success
2024-01-15 09:22:47,192.168.1.107,10.0.0.57,143,IMAP,2560,user007,email_sync,success
2024-01-15 09:23:58,192.168.1.108,10.0.0.58,53,DNS,256,user008,dns_query,success
2024-01-15 09:24:19,192.168.1.109,10.0.0.59,80,HTTP,16384,user009,large_download,success
2024-01-15 09:25:30,192.168.1.110,10.0.0.60,443,HTTPS,32768,user010,bulk_transfer,suspicious
2024-01-15 09:26:41,192.168.1.111,10.0.0.61,22,SSH,128,admin002,ssh_attempt,failed
2024-01-15 09:27:52,192.168.1.112,10.0.0.62,3389,RDP,256,user011,rdp_attempt,failed
2024-01-15 09:28:03,192.168.1.113,10.0.0.63,80,HTTP,512,user012,web_browse,success
2024-01-15 09:29:14,192.168.1.114,10.0.0.64,443,HTTPS,1024,user013,secure_browse,success

